
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/

 :: Spring Boot ::                (v3.3.5)

2026-05-25 23:35:34.771 [main] INFO  o.f.core.internal.command.DbMigrate trace= span= tenant= user= - Schema "tenant_acme" is up to date. No migration necessary.
2026-05-25 23:35:34.772 [main] INFO  c.a.m.TenantMigrationService trace= span= tenant= user= - Running tenant migrations for schema=tenant_epsilon
2026-05-25 23:35:34.785 [main] INFO  org.flywaydb.core.FlywayExecutor trace= span= tenant= user= - Database: jdbc:postgresql://localhost:5432/dbazurion (PostgreSQL 18.4)
2026-05-25 23:35:34.787 [main] WARN  o.f.c.i.database.base.Database trace= span= tenant= user= - Flyway upgrade recommended: PostgreSQL 18.4 is newer than this version of Flyway and support has not been tested. The latest supported version of PostgreSQL is 16.
2026-05-25 23:35:34.796 [main] INFO  o.f.core.internal.command.DbValidate trace= span= tenant= user= - Successfully validated 3 migrations (execution time 00:00.007s)
2026-05-25 23:35:34.804 [main] INFO  o.f.core.internal.command.DbMigrate trace= span= tenant= user= - Current version of schema "tenant_epsilon": 3
2026-05-25 23:35:34.834 [main] INFO  o.f.core.internal.command.DbMigrate trace= span= tenant= user= - Schema "tenant_epsilon" is up to date. No migration necessary.
2026-05-25 23:35:34.971 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer trace= span= tenant= user= - Global AuthenticationManager configured with UserDetailsService bean with name platformUserDetailsService
2026-05-25 23:35:36.785 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver trace= span= tenant= user= - Exposing 3 endpoints beneath base path '/actuator'
2026-05-25 23:35:37.904 [main] INFO  o.a.coyote.http11.Http11NioProtocol trace= span= tenant= user= - Starting ProtocolHandler ["http-nio-8080"]
2026-05-25 23:35:37.941 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer trace= span= tenant= user= - Tomcat started on port 8080 (http) with context path '/api'
2026-05-25 23:35:37.944 [main] INFO  com.azurion.AzurionApplication trace= span= tenant= user= - Started AzurionApplication in 14.403 seconds (process running for 15.193)
2026-05-25 23:35:57.900 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[.[localhost].[/api] trace= span= tenant= user= - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-05-25 23:35:57.901 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet trace= span= tenant= user= - Initializing Servlet 'dispatcherServlet'
2026-05-25 23:35:57.904 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet trace= span= tenant= user= - Completed initialization in 1 ms
2026-05-25 23:35:58.233 [http-nio-8080-exec-1] INFO  c.a.shared.audit.AuditTrailFilter trace= span= tenant=epsilon user= - audit method=GET uri=/api/v1/saas/clientes/1 status=200 durationMs=151 tenant=epsilon user=null
2026-05-25 23:35:58.234 [http-nio-8080-exec-3] INFO  c.a.shared.audit.AuditTrailFilter trace= span= tenant=epsilon user= - audit method=GET uri=/api/v1/saas/clientes/999 status=400 durationMs=151 tenant=epsilon user=null
2026-05-25 23:35:58.234 [http-nio-8080-exec-2] INFO  c.a.shared.audit.AuditTrailFilter trace= span= tenant=public user= - audit method=GET uri=/api/v1/saas/empresas/1 status=200 durationMs=152 tenant=public user=null
